motor_burnout = 3.35s					
apogee_time = 12.4s					
apogee = 2620ft = 798.576m					
					
Time (s)	Altitude (ft)	Altitude (m)			
12.65	2620	798.576			
12.7	2619	798.2712			
12.75	2617	797.6616			
12.8	2617	797.6616			
12.85	2619	798.2712			
12.9	2617	797.6616			
12.95	2617	797.6616			
13	2617	797.6616			
13.05	2616	797.3568			
13.1	2616	797.3568			
13.15	2614	796.7472			
13.2	2613	796.4424			
13.25	2614	796.7472			
13.3	2611	795.8328			
13.35	2611	795.8328			
13.4	2612	796.1376			
13.45	2610	795.528			
13.5	2608	794.9184			
13.55	2607	794.6136			
13.6	2606	794.3088			
13.65	2607	794.6136			
13.7	2604	793.6992			
13.75	2602	793.0896			
13.8	2601	792.7848			
13.85	2599	792.1752			
13.9	2598	791.8704			
13.95	2595	790.956			
14	2594	790.6512			
14.05	2593	790.3464			
14.1	2590	789.432			
14.15	2586	788.2128			
14.2	2586	788.2128			
14.25	2585	787.908			
14.3	2582	786.9936			
14.35	2580	786.384			
14.4	2576	785.1648			
14.45	2575	784.86			
14.5	2572	783.9456			
14.55	2569	783.0312			
14.6	2567	782.4216			
14.65	2564	781.5072			
14.7	2561	780.5928			
14.75	2558	779.6784			
14.8	2555	778.764			
14.85	2552	777.8496			
14.9	2548	776.6304			
14.95	2544	775.4112			
15	2541	774.4968			
15.05	2537	773.2776			
15.1	2533	772.0584			
15.15	2529	770.8392			
15.2	2526	769.9248			
15.25	2522	768.7056			
15.3	2519	767.7912			
15.35	2513	765.9624			
15.4	2511	765.3528			
15.45	2507	764.1336			
15.5	2502	762.6096			
15.55	2499	761.6952			
15.6	2494	760.1712			
15.65	2490	758.952			
15.7	2486	757.7328			
15.75	2482	756.5136			
15.8	2479	755.5992			
15.85	2475	754.38			
15.9	2472	753.4656			
15.95	2469	752.5512			
16	2464	751.0272			
16.05	2461	750.1128			
16.1	2454	747.9792			
16.15	2451	747.0648			
16.2	2444	744.9312			
16.25	2442	744.3216			
16.3	2439	743.4072			
16.35	2432	741.2736			
16.4	2426	739.4448			
16.45	2421	737.9208			
16.5	2415	736.092			
16.55	2410	734.568			
16.6	2406	733.3488			
16.65	2399	731.2152			
16.7	2395	729.996			
16.75	2387	727.5576			
16.8	2380	725.424			
16.85	2373	723.2904			
16.9	2366	721.1568			
16.95	2359	719.0232			
17	2353	717.1944			
17.05	2345	714.756			
17.1	2337	712.3176			
17.15	2329	709.8792			
17.2	2322	707.7456			
17.25	2315	705.612			
17.3	2308	703.4784			
17.35	2299	700.7352			
17.4	2290	697.992			
17.45	2283	695.8584			
17.5	2277	694.0296			
17.55	2270	691.896			
17.6	2258	688.2384			
17.65	2256	687.6288			
17.7	2246	684.5808			
17.75	2237	681.8376			
17.8	2232	680.3136			
17.85	2226	678.4848			
17.9	2219	676.3512			
17.95	2208	672.9984			
18	2202	671.1696			
18.05	2196	669.3408			
18.1	2188	666.9024			
18.15	2181	664.7688			
18.2	2173	662.3304			
18.25	2163	659.2824			
18.3	2157	657.4536			
18.35	2150	655.32			
18.4	2145	653.796			
18.45	2138	651.6624			
18.5	2127	648.3096			
18.55	2118	645.5664			
18.6	2112	643.7376			
18.65	2103	640.9944			
18.7	2097	639.1656			
18.75	2083	634.8984			
18.8	2075	632.46			
18.85	2065	629.412			
18.9	2058	627.2784			
18.95	2052	625.4496			
19	2041	622.0968			
19.05	2034	619.9632			
19.1	2028	618.1344			
19.15	2021	616.0008			
19.2	2013	613.5624			
19.25	2003	610.5144			
19.3	1992	607.1616			
19.35	1986	605.3328			
19.4	1976	602.2848			
19.45	1968	599.8464			
19.5	1961	597.7128			
19.55	1944	592.5312			
19.6	1939	591.0072			
19.65	1920	585.216			
19.7	1914	583.3872			
19.75	1902	579.7296			
19.8	1890	576.072			
19.85	1879	572.7192			
19.9	1868	569.3664			
19.95	1857	566.0136			
20	1847	562.9656			
20.05	1835	559.308			
20.1	1826	556.5648			
